charity_link,charity_name,full_time_employees
https://www.charitydata.ca/charity/diasol/874040108RR0001/,"""DIASOL""",0
https://www.charitydata.ca/charity/78th-fraser-highlanders---fort-victoria-historical-society/845496207RR0001/,78TH FRASER HIGHLANDERS - FORT VICTORIA HISTORICAL SOCIETY,0
https://www.charitydata.ca/charity/a-company-of-fools-theatre-inc/879738623RR0001/,A COMPANY OF FOOLS THEATRE INC,0
https://www.charitydata.ca/charity/abbotsford-learning-plus-society/886360486RR0001/,ABBOTSFORD LEARNING PLUS SOCIETY,0
https://www.charitydata.ca/charity/acappella-sounds-chapter-of-sweet-adelines/891963647RR0001/,Acappella Sounds Chapter of Sweet Adelines,0
https://www.charitydata.ca/charity/access-to-media-education-society/885241661RR0001/,ACCESS TO MEDIA EDUCATION SOCIETY,0
https://www.charitydata.ca/charity/active-aging-canada-incvieillir-activement-canada-inc/888213923RR0001/,ACTIVE AGING CANADA INC./VIEILLIR ACTIVEMENT CANADA INC.,0
https://www.charitydata.ca/charity/adams-apples-foundation/820939395RR0001/,ADAM'S APPLES FOUNDATION,0
https://www.charitydata.ca/charity/adventist-frontier-missions-society/892007048RR0001/,ADVENTIST FRONTIER MISSIONS SOCIETY,0
https://www.charitydata.ca/charity/adventure-valley-outdoor-education/818934291RR0001/,Adventure Valley Outdoor Education,0
https://www.charitydata.ca/charity/african-stages-association/856312509RR0001/,AFRICAN STAGES ASSOCIATION,0
https://www.charitydata.ca/charity/agriculture-in-the-classroom-nl-inc/819491788RR0001/,AGRICULTURE IN THE CLASSROOM NL INC.,0
https://www.charitydata.ca/charity/agriculture-in-the-classroom-pei-inc/745875724RR0001/,Agriculture In The Classroom PEI Inc.,0
https://www.charitydata.ca/charity/agudath-israel-of-montreal-inc/118778794RR0001/,AGUDATH ISRAEL OF MONTREAL INC,0
https://www.charitydata.ca/charity/ai-cheng-mandarin-chinese-school/893930396RR0001/,AI-CHENG MANDARIN CHINESE SCHOOL,0
https://www.charitydata.ca/charity/ajax-christian-academy/820060358RR0001/,Ajax Christian Academy,0
https://www.charitydata.ca/charity/alberta-chung-wah-school-society/884484965RR0001/,ALBERTA CHUNG WAH SCHOOL SOCIETY,0
https://www.charitydata.ca/charity/alberta-law-review-society/128679644RR0001/,ALBERTA LAW REVIEW SOCIETY,0
https://www.charitydata.ca/charity/alberta-waterportal-society/807121876RR0001/,ALBERTA WATERPORTAL SOCIETY,0
https://www.charitydata.ca/charity/all-city-choir/888480639RR0001/,ALL CITY CHOIR,0
https://www.charitydata.ca/charity/alpha-community/118784305RR0001/,ALPHA COMMUNITY,0
https://www.charitydata.ca/charity/alphabetisation-de-chateauguay-valley/890600190RR0001/,Alphabétisation de Châteauguay Valley,0
https://www.charitydata.ca/charity/altadore-elementary-school-parents-association/874063274RR0001/,ALTADORE ELEMENTARY SCHOOL PARENTS ASSOCIATION,0
https://www.charitydata.ca/charity/am-shalom-congregation/892219247RR0001/,AM SHALOM CONGREGATION,0
https://www.charitydata.ca/charity/ambleside-orchestra-society/885349423RR0001/,AMBLESIDE ORCHESTRA SOCIETY,0
https://www.charitydata.ca/charity/amelioration-jeunesse-internationaleyouth-upliftment-international/846418242RR0001/,AMÉLIORATION JEUNESSE INTERNATIONALE/YOUTH UPLIFTMENT INTERNATIONAL,0
https://www.charitydata.ca/charity/amici-chamber-ensemble/129714770RR0001/,AMICI CHAMBER ENSEMBLE,0
https://www.charitydata.ca/charity/anishnabe-mikinack-kinamakamik-inc/894051408RR0001/,ANISHNABE MIKINACK KINAMAKAMIK INC.,0
https://www.charitydata.ca/charity/annapolis-region-community-arts-council/118787506RR0001/,ANNAPOLIS REGION COMMUNITY ARTS COUNCIL,0
https://www.charitydata.ca/charity/another-brick-in-nepal-society/757533898RR0001/,ANOTHER BRICK IN NEPAL SOCIETY,0
https://www.charitydata.ca/charity/antigonish-creative-dance-association/118787910RR0001/,ANTIGONISH CREATIVE DANCE ASSOCIATION,0
https://www.charitydata.ca/charity/app-lutins-du-bois/892521907RR0001/,APP LUTINS DU BOIS,0
https://www.charitydata.ca/charity/arab-jewish-dialogue-inc/810525915RR0001/,ARAB JEWISH DIALOGUE INC.,0
https://www.charitydata.ca/charity/art-with-a-heart-inc/848982658RR0001/,ART WITH A HEART INC.,0
https://www.charitydata.ca/charity/arusha-centre-society/132004003RR0001/,ARUSHA CENTRE SOCIETY,0
https://www.charitydata.ca/charity/asia-pacific-foundation-of-canada/118791144RR0001/,ASIA-PACIFIC FOUNDATION OF CANADA,0
https://www.charitydata.ca/charity/association-des-francophones-des-kootenays-ouest/894797455RR0001/,ASSOCIATION DES FRANCOPHONES DES KOOTENAYS OUEST,0
https://www.charitydata.ca/charity/association-internationale-des-etudes-quebecoisesinternational-association-of-quebec-studies/885910430RR0001/,ASSOCIATION INTERNATIONALE DES ETUDES QUEBECOISES/INTERNATIONAL ASSOCIATION OF QUEBEC STUDIES,0
https://www.charitydata.ca/charity/association-of-parents-and-professionals-for-literacy-educatio/897875894RR0001/,ASSOCIATION OF PARENTS & PROFESSIONALS FOR LITERACY EDUCATIO,0
https://www.charitydata.ca/charity/atlantic-school-of-theology/130400617RR0001/,ATLANTIC SCHOOL OF THEOLOGY,0
https://www.charitydata.ca/charity/atlantic-science-links-association/893377960RR0001/,ATLANTIC SCIENCE LINKS ASSOCIATION,0
https://www.charitydata.ca/charity/aurea-foundation/845833565RR0001/,AUREA FOUNDATION,0
https://www.charitydata.ca/charity/avon-co-operative-nursery-school-incorporated/119709764RR0001/,AVON CO-OPERATIVE NURSERY SCHOOL INCORPORATED,0
https://www.charitydata.ca/charity/awesome-beginnings-co-operative-nursery-school-inc/119881985RR0001/,AWESOME BEGINNINGS CO-OPERATIVE NURSERY SCHOOL INC.,0
https://www.charitydata.ca/charity/awic-community-and-social-services/888999265RR0001/,AWIC COMMUNITY AND SOCIAL SERVICES,0
https://www.charitydata.ca/charity/aziz-tabah-foundation/118798016RR0001/,AZIZ TABAH FOUNDATION,0
https://www.charitydata.ca/charity/bach-elgar-choral-society/118798081RR0001/,Bach Elgar Choral Society,0
https://www.charitydata.ca/charity/bakers-corner-pre-school-society/890161789RR0001/,BAKERS CORNER PRE-SCHOOL SOCIETY,0
https://www.charitydata.ca/charity/baldur-early-learning-centre-inc/792982910RR0001/,Baldur Early Learning Centre Inc.,0
https://www.charitydata.ca/charity/banff-international-affairs-summer-school/118798792RR0001/,BANFF INTERNATIONAL AFFAIRS SUMMER SCHOOL,0
https://www.charitydata.ca/charity/beata-vocal-ensemble/854802881RR0001/,BEATA VOCAL ENSEMBLE,0
https://www.charitydata.ca/charity/bedford-sackville-learning-network-society/894642032RR0001/,BEDFORD SACKVILLE LEARNING NETWORK SOCIETY,0
https://www.charitydata.ca/charity/belleville-police-service-childrens-safety-village/890280951RR0001/,BELLEVILLE POLICE SERVICE CHILDREN'S SAFETY VILLAGE,0
https://www.charitydata.ca/charity/big-dreams-preschool-inc/823526777RR0001/,BIG DREAMS PRESCHOOL INC.,0
https://www.charitydata.ca/charity/bloor-west-nursery-school/106798598RR0001/,BLOOR WEST NURSERY SCHOOL,0
https://www.charitydata.ca/charity/blue-bridge-theatre-society/853184497RR0001/,BLUE BRIDGE THEATRE SOCIETY,0
https://www.charitydata.ca/charity/blyth-arts-and-cultural-initiative-1419-inc/839977576RR0001/,BLYTH ARTS AND CULTURAL INITIATIVE 14/19 INC.,0
https://www.charitydata.ca/charity/board-of-education-of-the-regina-school-division-no-4-of-saskatchewan/118812767RR0001/,BOARD OF EDUCATION OF THE REGINA SCHOOL DIVISION NO. 4 OF SASKATCHEWAN,0
