donor_name,donor_province,donor_city,total_donations,donations_per_employee_range,donation_consistency
"""ON EAGLES WINGS"" MINISTRIES",NS,KINGSTON,2,4,2
"""ON EAGLES WINGS"" MINISTRIES",NS,SANDY COVE,1,4,1
1-R32 Foundation,ON,TORONTO,11,0,4
"1000 ISLANDS MONTHLY MEETING, SOCIETY OF FRIENDS,",ON,KINGSTON,8,5,4
1ST ST JOHN'S LUTHERAN CHURCH,ON,MITCHELL,4,2,4
3545261 Canada Fondation,QC,LAVALTRIE,1,2,1
3e Batterie d'Artillerie de Campagne de Montréal,QC,MONTRÉAL,1,1,1
4-H BRITISH COLUMBIA FOUNDATION,BC,VERNON,2,3,2
46N76W Foundation,QC,MONTREAL,4,7,2
479 Foundation,ON,TORONTO,22,3,3
60 MILLION GIRLS / 60 MILLIONS DE FILLES,QC,MONTREAL,4,4,3
754 PHOENIX SQUADRON SPONSORING COMMITTEE,BC,PORT MOODY,3,7,3
A & A KING FAMILY FOUNDATION,ON,TORONTO,3,2,3
A & M Green Foundation,ON,TORONTO,1,1,1
A BETTER WORLD HELPING HANDS CANADA,AB,LACOMBE,8,7,3
A-FRAME ASSOCIATION,ON,PICTON,1,1,1
A. W. B. CHARITABLE FOUNDATION,ON,TORONTO,12,2,4
A.F.S. INTERCULTURE CANADA,QC,MONTREAL,2,1,2
A.M. FOUNDATION,ON,TORONTO,1,0,1
AARON AND SUSAN LIEBERMAN FOUNDATION,QC,MONTREAL,16,4,3
AARON BROCK FOUNDATION,ON,MISSISSAUGA,4,2,4
ABARBANEL EIGER CHARITABLE FOUNDATION,ON,TORONTO,9,1,3
ABBA MISSIONS AND MEDICAL FOUNDATION,BC,NORTH VANCOUVER,7,2,3
ABBA MISSIONS AND MEDICAL FOUNDATION,ON,TORONTO,2,2,1
ABBEY OF THE LONG CEDAR CANOE SOCIETY,BC,NEW WESTMINSTER,3,3,3
ABBEYDALE CHRISTIAN FELLOWSHIP,AB,CALGARY,3,5,3
ABBOTSFORD ARTS COUNCIL,BC,ABBOTSFORD,2,3,2
ABBOTSFORD COMMUNITY FOUNDATION,BC,ABBOTSFORD,13,7,4
ABC - ASSISTING BLOSSOMING CHILDREN,ON,NORTH YORK,7,2,2
ABC BENEFITS CORPORATION FOUNDATION,AB,EDMONTON,44,7,3
ABE AND RUTH FEIGELSON FOUNDATION,QC,LONGUEUIL,6,4,3
ABE STERN FAMILY FOUNDATION/FONDATION FAMILLE ABE STERN,QC,MONTREAL,3,1,3
ABERDEEN BAPTIST CHURCH,BC,ABBOTSFORD,2,5,2
ABERDEEN HALL PREPARATORY SCHOOL SOCIETY,BC,KELOWNA,4,6,4
ABERDEEN HALL SENIOR SCHOOL SOCIETY,BC,KELOWNA,1,7,1
ABERDEEN HEALTH AND COMMUNITY SERVICES FOUNDATION,ON,BRANTFORD,1,2,1
ABERDEEN HEALTH FOUNDATION SOCIETY,NS,NEW GLASGOW,5,3,3
ABORIGINAL PEOPLES TELEVISION NETWORK INCORPORATED,MB,WINNIPEG,1,4,1
ABRAHAM BLEEMAN FOUNDATION,ON,TORONTO,37,3,2
ABREAST IN THE ROCKIES DRAGONBOAT ASSOC.,BC,CRANBROOK,2,7,2
ABUNDANCE CANADA,MB,WINNIPEG,417,5,4
ABUNDANT LIFE MINISTRIES OF EDMONTON INTERDENOMINATIONAL,AB,EDMONTON,1,4,1
ABUNDANT LIFE UNITED PENTECOSTAL CHURCH INC.,NB,SUSSEX,2,1,2
ACADEMIE FRANCOIS LABELLE,QC,REPENTIGNY,1,3,1
ACADEMOS CYBERMENTORAT,QC,MONTREAL,1,2,1
ACADEMOS CYBERNTORAT,QC,MONTREAL,1,2,1
ACCESS COMMUNICATIONS CHILDREN'S FUND INC.,SK,REGINA,9,1,3
ACCESS COMMUNITY CAPITAL FUND,ON,TORONTO,2,2,2
ACCESS EDUCATION - GUATTEMALA CHILDREN'S FUND,ON,TORONTO,1,0,1
ACHEI TEMIMIM JEWISH CULTURAL & EDUCATIONAL NETWORK,ON,TORONTO,2,2,2
ACTION MINISTRIES OF GRAND MANAN,NB,GRAND MANAN,1,0,1
ACTS OF GRACE FOUNDATION,ON,BURLINGTON,4,5,3
ACTUA,ON,OTTAWA,126,7,4
ADARSAN TZEDAKAH FOUNDATION,ON,OTTAWA,14,1,4
ADERA FOUNDATION SOCIETY,BC,VANCOUVER,3,4,3
ADOLPH ISAAC COSINER ESTATE,BC,VANCOUVER,1,5,1
ADOPT-A-TEEN EDMONTON,AB,EDMONTON,1,5,1
ADRA CANADA,ON,NEWCASTLE,1,5,1
ADVENT LUTHURAN CHURCH,AB,EVANSBURG,2,2,2
AECON TRANSPORTATION WEST LTD. EMPLOYEE CHARITABLE FOUNDATION,AB,MEDICINE HAT,2,2,1
AFRICA INLAND MISSION,ON,SCARBOROUGH,1,0,1
AFRICAN CANADIAN CONTINUING EDUCATION SOCIETY FOUNDATION (1997),BC,NORTH VANCOUVER,4,1,4
AGINCOURT PENTECOSTAL CHURCH,ON,TORONTO,2,1,1
AGORA FOUNDATION,ON,TORONTO,1,5,1
AGUDAT CHASIDEI CHABAD-ONTARIO,ON,THORNHILL,1,2,1
AGUDATH ISRAEL CONGREGATION OF TORONTO,ON,NORTH YORK,3,1,2
AGUDATH ISRAEL OF MONTREAL INC,QC,MONTREAL,6,2,3
AGUDATH ISRAEL OF TORONTO,ON,NORTH YORK,1,3,1
AHAVAS SHOLOM CHARITABLE FOUNDATION,ON,TORONTO,8,3,3
AHEPA FAMILY CHARITABLE FOUNDATION OF CANADA,ON,STRATFORD,1,7,1
AIA HIGH FIVES FOR KIDS FOUNDATION,ON,OTTAWA,1,3,1
AIRDRIE OVER - 50 CLUB,AB,AIRDRIE,3,5,3
AIRDRIE SEVENTH-DAY ADVENTIST CHURCH,AB,LACOMBE,3,5,2
AL PURDY A -FRAME ASSOCIATION,ON,PICTOU,1,1,1
AL PURDY A-FRAME ASSOCIATION,ON,PICTON,1,1,1
AL ROADBURG FOUNDATION,BC,VANCOUVER,8,2,3
ALAN AND GWENDOLINE PYATT FOUNDATION,BC,VANCOUVER,2,0,2
ALAN AND PATRICIA KOVAL FOUNDATION,ON,THORNHILL,8,1,4
ALBERT & TEMMY LATNER FAMILY FOUNDATION,ON,TORONTO,23,2,3
